Date,Close,High,Low,Open,Volume,MA5,MA20,Return,RSI,sentiment_score,positive_ratio,negative_ratio,discussion_volume,Target
2021-06-22,5432.3671875,5475.209200019716,5346.683162460568,5355.251564964511,65824000,5420.37138671875,5500.914477539062,0.014400018965029071,44.186053901717045,1.5993,0.5825,0.4175,19,5338.11572265625
2021-06-23,5338.11572265625,5432.368167197532,5338.11572265625,5393.810348976099,52451000,5393.80947265625,5496.84453125,-0.017349980513214347,32.381011300494976,2.3157,0.5844,0.4156,29,5320.97802734375
2021-06-24,5320.97802734375,5406.662053548964,5312.409624723229,5406.662053548964,56010000,5373.24541015625,5490.6324462890625,-0.003210439076800742,32.38097615247325,2.5207,0.608,0.392,19,5303.84130859375
2021-06-25,5303.84130859375,5363.820127915489,5303.84130859375,5338.114919634743,68939500,5350.1107421875,5487.205102539063,-0.0032205956615375397,33.333333327993756,5.2112,0.717,0.283,23,5188.16796875
2021-06-28,5188.16796875,5269.567796500825,5188.16796875,5226.725781895128,84420500,5316.69404296875,5474.995141601563,-0.02180935158379005,32.22753013019856,2.8926,0.6456,0.3544,54,5179.60009765625
2021-06-29,5179.60009765625,5218.157914760391,5175.31589575579,5183.88429955671,53704000,5266.140625,5460.8572998046875,-0.0016514251553452208,24.870437249389482,1.0951,0.55,0.45,22,5162.46142578125
2021-06-30,5162.46142578125,5201.01922896136,5141.040424014524,5141.040424014524,65795000,5231.009765625,5442.006762695312,-0.003308879363631778,16.759786493068788,9.7955,0.675,0.325,25,5162.46142578125
2021-07-01,5162.46142578125,5205.303429314705,5141.040424014524,5192.4508282546685,58153000,5199.3064453125,5417.37255859375,0.0,20.13421175582664,5.9358,0.6762,0.3238,31,5226.7255859375
2021-07-02,5226.7255859375,5260.99919633709,5175.3151703381145,5201.020378137808,67392500,5183.88330078125,5396.8083984375,0.012448356482687828,29.6053494789992,5.3783,0.6563,0.3437,33,5235.2939453125
2021-07-05,5235.2939453125,5252.430750370806,5201.020335195888,5226.725542783347,39710500,5193.30849609375,5378.814721679688,0.0016393359923185802,24.647970971597644,6.2353,0.671,0.329,35,5188.16796875
2021-07-06,5188.16796875,5235.294184816267,5188.16796875,5235.294184816267,34279500,5195.0220703125,5362.748999023437,-0.00900159132510503,25.73539208700521,4.3672,0.6047,0.3953,39,5196.736328125
2021-07-07,5196.736328125,5295.272960892416,5166.746918152308,5295.272960892416,35595000,5201.87705078125,5342.82744140625,0.0016515192697326153,29.133981920284725,3.5528,0.6417,0.3583,28,5153.89453125
2021-07-08,5153.89453125,5175.3155392768085,5123.905120012469,5141.041926433915,47297000,5200.163671875,5316.908056640625,-0.008243981254761334,27.205989565011464,4.7738,0.6296,0.3704,34,5158.17822265625
2021-07-09,5158.17822265625,5158.17822265625,5132.473015566601,5149.609820293033,40707500,5186.45419921875,5297.629125976562,0.0008311562024168051,31.147588450939026,4.6539,0.6759,0.3241,18,5286.70458984375
2021-07-12,5286.70458984375,5295.272992744631,5158.1785463305305,5201.020560834937,65981500,5196.736328125,5287.3470458984375,0.024917007834854177,37.31348741355459,7.2603,0.6713,0.3287,30,5179.60009765625
2021-07-13,5179.60009765625,5290.989347068213,5153.89488625349,5286.705145167753,65946500,5195.02275390625,5269.139208984375,-0.02025921637332595,36.49637950359366,7.1591,0.6538,0.3462,22,5132.47314453125
2021-07-14,5132.47314453125,5166.746754845315,5123.904741952734,5158.178352266799,59321000,5182.1701171875,5252.2166015625,-0.009098569819381397,34.72226398656112,6.5795,0.6602,0.3398,27,5239.578125
2021-07-15,5239.578125,5239.578125,5136.757295073589,5141.041496320523,49724000,5199.3068359375,5243.005590820312,0.020868103437204022,45.45454544554322,7.3812,0.6985,0.3015,19,5235.2939453125
2021-07-16,5235.2939453125,5286.704360487418,5188.167731402158,5286.704360487418,47998500,5214.72998046875,5233.7945556640625,-0.0008176573734168802,53.956802075875544,7.2236,0.7584,0.2416,11,5145.326171875
2021-07-19,5145.326171875,5235.29440635408,5145.326171875,5235.29440635408,47119000,5186.454296875,5223.298291015625,-0.017184856166109652,47.46833844144453,4.8028,0.6708,0.3292,24,5149.609375
2021-07-21,5149.609375,5243.861792845258,5149.609375,5183.882981489185,55009500,5180.45615234375,5209.160400390625,0.0008324454042218932,49.03229837750066,6.7503,0.7063,0.2937,25,5273.85205078125
2021-07-22,5273.85205078125,5273.85205078125,5183.883819208215,5239.578438753427,60792000,5208.73193359375,5205.947216796875,0.024126621406356685,57.06530625389503,7.3872,0.7511,0.2489,49,5171.03125
2021-07-23,5171.03125,5303.841497514499,5162.462846934549,5295.273094449048,79938000,5195.02255859375,5198.449877929687,-0.01949633774159787,46.63213627746838,7.3533,0.7529,0.2471,53,5145.326171875
